Message,Intent
What is the emoji I use the most in my chats?, 0
Which emoji do I use the most when texting?, 0
Can WhatsEye show my most frequently used emoji?, 0
What’s my top emoji in WhatsApp conversations?, 0
Which emoji appears the most in my messages?, 0
What is my most sent emoji in chats?, 0
Can I check my most used emoji in WhatsEye?, 0
Which emoji do I use the most in WhatsApp?, 0
What’s my most common emoji when chatting?, 0
How can I see my most used emoji in WhatsEye?, 0

Who sent the most messages in my chats?, 1
Which contact has the highest message count?, 1
Can WhatsEye show me the most active user in my chats?, 1
Who do I chat with the most based on message count?, 1
Which user has sent the most texts in my WhatsApp?, 1
What contact do I receive the most messages from?, 1
Can I check who has sent me the most messages?, 1
Who is the most active person in my WhatsApp chats?, 1
Which friend has sent me the most texts?, 1
How can I find out who messages me the most?, 1

Who sent the least messages in my chats?, 2
Which contact has the lowest message count?, 2
Can WhatsEye show me the least active user in my chats?, 2
Who do I chat with the least based on message count?, 2
Which user has sent the fewest texts in my WhatsApp?, 2
What contact do I receive the least messages from?, 2
Can I check who has sent me the fewest messages?, 2
Who is the least active person in my WhatsApp chats?, 2
Which friend has sent me the least texts?, 2
How can I find out who messages me the least?, 2

How many links have been shared in my chats?, 3
Can WhatsEye count the total links in my WhatsApp conversations?, 3
What is the number of links sent in my chats?, 3
How many URLs have been shared in my messages?, 3
Can I see the total link count in my WhatsApp messages?, 3
What’s the total number of links shared in my chat history?, 3
How can I check the amount of links sent in my chats?, 3
Can WhatsEye track all shared links in my conversations?, 3
What’s the total count of links in my WhatsApp messages?, 3
How do I find out how many links were shared in my chats?, 3

What is the total number of messages in this chat?, 4
How many messages have been sent in this conversation?, 4
Can WhatsEye count all the messages in my chat?, 4 
What’s the total message count in my WhatsApp chat?, 4
How many texts have been exchanged in this chat?, 4
Can I see the total number of messages in my chat history?, 4
What’s the message count for this conversation?, 4
How many messages are there in my WhatsApp group chat?, 4
Can WhatsEye analyze the total number of messages in my chats?, 4
How do I check the total messages in my WhatsApp conversation?, 4

When are my chats most active?, 5
What time do I send and receive the most messages?, 5
Can WhatsEye show my peak chat hours?, 5
At what time is my WhatsApp activity the highest?, 5
What is the busiest time in my chat history?, 5
When do I get the most messages in WhatsApp?, 5
What time of day do I chat the most?, 5
Can I see my most active chatting hours?, 5
When do my WhatsApp conversations peak?, 5
How can I find out the most active time for my chats?, 5

Is my WhatsApp chat data safe with WhatsEye?, 6
Does WhatsEye store my chat messages?, 6
How does WhatsEye protect my privacy?, 6
Will my chat analysis data be shared with anyone?, 6
Can WhatsEye read my personal messages?, 6
Do I need to give WhatsEye full access to my chats?, 6
Is my chat data encrypted when using WhatsEye?, 6
Can I delete my chat analysis history in WhatsEye?, 6
Does WhatsEye comply with data privacy laws?, 6
How can I ensure my chat data remains private with WhatsEye?, 6

What is the positivity percentage of this group chat?, 7
Can WhatsEye analyze how positive my group chats are?, 7
How much of my group conversation is positive?, 7
What percentage of messages in this group are positive?, 7
How positive is my WhatsApp group chat?, 7
Can I see the positivity score of my group chats?, 7
What’s the sentiment analysis result for my group?, 7
How happy or positive is my group’s conversation?, 7
Can WhatsEye show me the positivity trend of my group?, 7
What’s the overall mood of my WhatsApp group chat?, 7

What is the negativity percentage of this group chat?, 8
Can WhatsEye analyze how negative my chats are?, 8
How much of my group conversation is negative?, 8
What percentage of messages in this chat have negative sentiment?, 8
How negative is my WhatsApp group chat?, 8
Can I see the negativity score of my conversations?, 8
What’s the sentiment analysis result for negative messages?, 8
How often do negative messages appear in my chats?, 8
Can WhatsEye show me the negativity trend of my group?, 8
What’s the overall mood of my WhatsApp group—positive or negative?, 8

Who replies the fastest in my chats?, 9
Which contact has the quickest response time?, 9
Can WhatsEye show me my fastest responder?, 9
Who is the quickest to reply in my WhatsApp conversations?, 9
Which user responds the fastest in group chats?, 9
Who takes the least time to reply in my chats?, 9
Can I check who replies the fastest in my messages?, 9
Which contact has the shortest average response time?, 9
Who is the most responsive person in my WhatsApp chats?, 9
How can I find out who responds the quickest in my chats?, 9

Who takes the longest to reply in my chats?, 10
Which contact has the slowest response time?, 10
Can WhatsEye show me my slowest responder?,10
Who is the slowest to reply in my WhatsApp conversations?, 10
Which user responds the slowest in group chats?, 10
Who has the longest average reply time in my chats?, 10
Can I check who replies the slowest in my messages?, 10
Which contact has the highest delay in responding?, 10
Who is the least responsive person in my WhatsApp chats?, 10
How can I find out who responds the slowest in my chats?, 10

What is the most active day in my chats?, 11
On which day did I send and receive the most messages?, 11
Can WhatsEye show my busiest chatting day?, 11
Which day had the highest number of messages in my chat history?, 11 
When was my WhatsApp group the most active?, 11
What’s the day with the most conversations in my chats?, 11
Can I see which day I chatted the most?, 11
Which day had the peak chat activity?, 11
What is the busiest day in my WhatsApp messages?, 11
How can I find out when my chats were most active?, 11

